v1,v2
ham,"Hello, how are you?"
ham,"Can you call me later?"
ham,"Your meeting is scheduled for tomorrow."
ham,"Don't forget to bring your notebook."
ham,"I will reach home soon."
spam,"Congratulations! You have won a free prize. Click now!"
spam,"You have been selected for a cash reward. Claim now!"
spam,"WINNER! You won a free vacation. Call now!"
spam,"Get a FREE gift card today! Click here!"
spam,"URGENT! You have won $1000. Claim your reward!"
spam,"Congratulations! You are selected for a special offer!"
spam,"Free entry! You could win a huge cash prize!"
ham,"Are you coming to class today?"
ham,"Please send me the notes."
ham,"Let's meet at 5 PM."
ham,"Happy birthday! Have a great day."
spam,"Exclusive offer! Buy now and get a huge discount!"
spam,"You are a lucky winner. Claim your free reward!"
